Count,Pattern,Songs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A 3128B 3256C 4128B 3256G 3256A 3128A 3128B 3128,[NU. Col. 75.txt, CBr. Col. p. 182.txt, 62b.txt, 62a.txt, CBr. Col. p. 202.txt],,,,,,,,,,,,,,,,,,,,,,,,,,
5,A 4128A 4128A 4128A 4128D 5128C 5128B 4128A 4128,[MM DD. Col 15.txt, MM DD. Col 34.txt, MM DD. Col 30.txt, MM DD. Col 31.txt, MM DD. Col 14.txt],,,,,,,,,,,,,,,,,,,,,,,,,,
5,A 4128A 4128D 5128C 5128B 4128A 4128B 4128A 4128,[MM DD. Col 32.txt, MM DD. Col 34.txt, MM DD. Col 36.txt, MM DD. Col 30.txt, MM DD. Col 31.txt],,,,,,,,,,,,,,,,,,,,,,,,,,
5,A 4128G 4256A 4256B 4128G 4128A 4256C 5256B 4128,[Drg. Col. 76.txt, Drg. Col. 9.txt, Drg. Col. 4.txt, Drg. Col. 14.txt, Drg. Col. 91.txt],,,,,,,,,,,,,,,,,,,,,,,,,,
5,B 3128A 3128A 3128G 3128B 3128A 3128A 3128,[sul 51.txt, scor 97.txt, SDrg. Doina. 51.txt, CB. Col. 962.txt, MF(AV). Cd. XV 3.txt],,,,,,,,,,,,,,,,,,,,,,,,,,
5,B 3128A 3128A 3128G 3128B 3128A 3128A 3128G 3128,[sul 51.txt, scor 97.txt, SDrg. Doina. 51.txt, CB. Col. 962.txt, MF(AV). Cd. XV 3.txt],,,,,,,,,,,,,,,,,,,,,,,,,,
5,B 3256B 3128D 4256D 4128C 4256C 4128B 3256,[Bog. Col. 668.txt, BB. Col. 84c.txt, CB. Col. 452.txt, Bog. Col. 666.txt, Bog. Col. 664.txt],,,,,,,,,,,,,,,,,,,,,,,,,,
5,B 3256D 4256D 4128C 4128A 3256C 4128B 3256A 3128,[NU. Col. 74.txt, Bog. Col. 91.txt, NU. Col. 73.txt, Bog. Col. 293.txt, CB. Col. 784.txt],,,,,,,,,,,,,,,,,,,,,,,,,,
5,B 4512D 5256A 4256D 5256B 4256B 4128A 4128G 4256,[MM DD. Col 92.txt, MM DD. Col 96.txt, MM DD. Col 102.txt, MM DD. Col 104.txt, MM DD. Col 94.txt],,,,,,,,,,,,,,,,,,,,,,,,,,
5,C 4128A#3256A 3128G 3256G 3256C 4128D 4256D#4128,[Drg. Col. 175.txt, Drg. Col. 155.txt, Bog. Col. 50.txt, Drg. Col. 256.txt, Drg. Col. 298.txt],,,,,,,,,,,,,,,,,,,,,,,,,,
